City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
404,Moree,AU,62.6,overcast clouds,-29.4667,149.85,Molika Springs Motel
406,Praia Da Vitoria,PT,61.0,broken clouds,38.7333,-27.0667,Hotel Branco I
407,Thessalon,CA,53.6,clear sky,46.2501,-83.5666,Carolyn Beach Inn & Restaurant
409,Port Lincoln,AU,62.11,clear sky,-34.7333,135.8667,Port Lincoln Hotel
410,Candolim,IN,79.32,clear sky,15.5181,73.7626,Resort Terra Paraiso
412,Meadow Lake,US,78.01,scattered clouds,34.8014,-106.5436,JKL Inc. R.V Park and Storage
414,Stockholm,SE,50.0,clear sky,59.3326,18.0649,Freys Hotel
416,Balikpapan,ID,77.47,overcast clouds,-1.2675,116.8289,ibis Balikpapan
418,Dunedin,NZ,54.0,clear sky,-45.8742,170.5036,Scenic Hotel Southern Cross
421,Arroyo,ES,55.4,clear sky,41.6096,-4.7969,Hotel El Jardín de la Abadía
423,Sao Filipe,CV,75.33,scattered clouds,14.8961,-24.4956,Tortuga B&B
425,Greytown,ZA,56.39,clear sky,-29.0642,30.5928,Lord Grey Guest House
428,Sal Rei,CV,75.2,few clouds,16.1833,-22.9167,Marine Club Beach Resort
431,Fortuna,US,54.0,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
432,Socorro,US,78.01,clear sky,31.6546,-106.3033,guarderia imss papalote
433,Hauterive,FR,53.6,clear sky,46.0901,3.4459,Aletti Palace Hotel
434,Bengkulu,ID,77.49,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
435,Kingston Upon Hull,GB,51.8,scattered clouds,53.7446,-0.3353,Premier Inn Hull City Centre hotel
437,Yabelo,ET,64.98,broken clouds,4.8833,38.0833,Asnakech W/michael
442,Marsh Harbour,BS,67.53,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
443,Pacifica,US,59.0,overcast clouds,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
444,Half Moon Bay,US,61.0,overcast clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
446,Russell,US,69.8,clear sky,32.3502,-85.1999,Macs
448,Yining,CN,53.26,overcast clouds,29.0361,114.5636,Xiushui Hotel
450,Denpasar,ID,77.0,broken clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
452,Mount Isa,AU,71.6,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
455,Lorengau,PG,79.75,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
456,Soliera,IT,52.0,clear sky,44.738,10.9263,Marchi
457,Khani,GE,51.8,clear sky,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
458,Oshkosh,US,72.0,clear sky,44.0247,-88.5426,Best Western Premier Waterfront Hotel & Convention Center
459,Vwawa,TZ,59.43,light rain,-9.1167,32.9333,Vwawa Secondary School's Hostels
460,Batu Gajah,MY,75.87,broken clouds,4.4692,101.0411,Hotel Bumi Gajah
461,Tezu,IN,70.0,clear sky,27.9167,96.1667,Circuit House
465,Aljezur,PT,57.79,clear sky,37.3191,-8.8033,Amazigh Hostel
467,Hamilton,US,72.0,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
470,Poum,NC,78.6,broken clouds,-20.2333,164.0167,Gîte kajeon
471,Ranong,TH,77.59,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
473,Sydney,AU,66.2,clear sky,-33.8679,151.2073,The Grace Sydney
476,La Palma Del Condado,ES,69.8,clear sky,37.3861,-6.5523,Tierra De Vinos
482,Bosaso,SO,78.49,few clouds,11.2842,49.1816,Red Sea Hotel
483,Mbandaka,CD,75.58,light rain,0.0487,18.2603,Guest House Epervier
486,Plettenberg Bay,ZA,67.64,overcast clouds,-34.0527,23.3716,Thanda Vista B&B
488,Birin,NP,57.78,clear sky,26.8865,88.0718,Sangam hotel and lodge
490,Ambilobe,MG,74.84,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
493,Palu,ID,75.7,light rain,-0.8917,119.8707,Hotel Santika Palu
496,Rosetta,EG,68.0,clear sky,31.4044,30.4164,Green Valley
498,Tabas,IR,62.71,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
499,Kyaikto,MM,74.79,overcast clouds,17.3,97.0167,နီလာ တည်းခိုခန်း
501,Dickinson,US,73.99,scattered clouds,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
504,Mango,US,77.0,scattered clouds,27.9797,-82.3065,Hilton Garden Inn Tampa East/Brandon
505,Binghamton,US,59.0,few clouds,42.0987,-75.918,Nuru Binghamton Downtown
506,Saint Anthony,US,78.8,clear sky,45.0205,-93.21799999999999,Holiday Inn Express Roseville-St. Paul
508,Abu Dhabi,AE,75.2,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
510,Kruisfontein,ZA,64.0,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
512,Muros,ES,62.6,clear sky,42.7762,-9.0603,Apartment Av. Castelao
513,Kahului,US,71.6,moderate rain,20.8947,-156.47,Maui Seaside Hotel
517,Atambua,ID,72.43,moderate rain,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
518,Sterling,US,70.0,few clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
519,Areka,ET,66.63,scattered clouds,7.0667,37.7,Selam Hotel ሰላም ሆቴል
522,Lakatoro,VU,79.5,overcast clouds,-16.0999,167.4164,Lakatoro Palm Lodge
523,Tanggu,CN,51.8,clear sky,39.0211,117.6469,Ibis Tianjin Tanggu Hotel
524,Honiara,SB,77.88,scattered clouds,-9.4333,159.95,Heritage Park Hotel
528,Geraldton,AU,73.4,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
529,Burnie,AU,54.27,clear sky,-41.0667,145.9167,Beachfront Voyager Motor Inn
530,Lapinigan,PH,72.28,overcast clouds,8.4206,125.9825,Casa Czarina
532,Bumba,CD,77.43,broken clouds,2.1833,22.4667,Hôtel Cape Town
533,Independence,US,77.0,clear sky,39.0911,-94.4155,Higher Ground Hotel
540,Faya,SA,69.8,clear sky,18.3851,42.4509,مقبرة ال مجمل
542,Riverbank,US,61.0,clear sky,37.736,-120.9355,Olive Lane Trailer Park
543,Price,US,66.2,clear sky,39.5994,-110.8107,National 9 - Price River Inn
546,Ondjiva,AO,72.5,clear sky,-17.0667,15.7333,SOS Motel
547,Kirakira,SB,79.3,overcast clouds,-10.4544,161.9205,SanBiz Lodge
548,Hambantota,LK,75.2,clear sky,6.1241,81.1185,Bungalow 63
549,Bocas Del Toro,PA,73.0,overcast clouds,9.3333,-82.25,Hotel Bocas del Toro
555,Khowst,AF,57.72,overcast clouds,33.3833,69.8833,وچه خوړه،Wacha Khwara
557,Mayumba,GA,79.86,overcast clouds,-3.432,10.6554,LIKWALE LODGE
558,San Quintin,MX,67.84,clear sky,30.4833,-115.95,Old Mill Hotel
560,Palmer,US,57.99,scattered clouds,42.1584,-72.3287,Wedgewood Motel
563,Wilmington,US,73.99,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
